Mã TBMT,Gói thầu,Mã CĐT,Chủ đầu tư,Ngày đăng tải,Đóng thầu,Đường dẫn
IB2600116376-00,Gói thầu số 05: Mua sắm xe chở nước phục vụ công tác tiếp nước chữa cháy,vnz000009551,Công an tỉnh Lâm Đồng,09:44 26/03/2026,09:00 05/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-05-mua-sam-xe-cho-nuoc-phuc-vu-cong-tac-tiep-nuoc-chua-chay-1732133.html
IB2600115193-00,"Gói thầu số 2: Cung cấp phần mềm quản lý
kho, nhà thuốc, phòng Lab IVF, Đào tạo - Chỉ đạo tuyến tại Bệnh viện Sản Nhi
tỉnh Phú Thọ năm 2026 - 2029",vn2601024249,Bệnh viện Sản Nhi tỉnh Phú Thọ,09:41 26/03/2026,08:30 07/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-2-cung-cap-phan-mem-quan-ly-kho-nha-thuoc-phong-lab-ivf-dao-tao-chi-dao-tuyen-tai-benh-vien-san-1732129.html
IB2600116793-00,Mua sắm văn phòng phẩm,vnz000023644,CÔNG TY ĐIỆN LỰC THÁI NGUYÊN – CHI NHÁNH TỔNG CÔNG TY ĐIỆN LỰC MIỀN BẮC,09:41 26/03/2026,08:00 02/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-van-phong-pham-1732130.html
IB2600116772-00,"DVN-VT-927/26-XL-TTH-LANLT.TM_Topside remaining structural material including Miscellaneous, Piping and E&I support)",vn3500102414,Liên doanh Việt-Nga Vietsovpetro,09:40 26/03/2026,10:00 13/04/2026,https://dauthau.asia/thongbao/moithau/dvn-vt-927-26-xl-tth-lanlt-tm-topside-remaining-structural-material-including-miscellaneous-piping-and-e-i-1732132.html
IB2600106396-00,"Mua sắm Túi nilon, Tấm lót sản, Tấm trải bàn mổ, Tạp dề y tế , bao nilon,.....",vn1200338077,Bệnh viện Đa khoa khu vực Gò Công,09:40 26/03/2026,08:00 06/04/2026,https://dauthau.asia/thongbao/moithau/mua-sam-tui-nilon-tam-lot-san-tam-trai-ban-mo-tap-de-y-te-bao-nilon-1732131.html
IB2600116757-00,"Cung cấp hiện vật thực hiện chế độ bồi dưỡng cho người lao động làm việc trong điều kiện có yếu tố nguy hiểm, độc hại năm 2026",vnz000009919,TRUNG TÂM HẠ TẦNG IDC - CHI NHÁNH CÔNG TY CÔNG NGHỆ THÔNG TIN VNPT,09:35 26/03/2026,08:00 02/04/2026,https://dauthau.asia/thongbao/moithau/cung-cap-hien-vat-thuc-hien-che-do-boi-duong-cho-nguoi-lao-dong-lam-viec-trong-dieu-kien-co-yeu-to-nguy-hiem-1732127.html
IB2600070113-00,Gói thầu số 05: Cung cấp và vận chuyển VTTB nhất thứ,vnz000021968,Công ty Truyền tải điện 3,09:34 26/03/2026,09:00 15/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-05-cung-cap-va-van-chuyen-vttb-nhat-thu-1732128.html
IB2600108554-02,Thi công xây dựng toàn bộ khối lượng công trình,vn4101473835,Ban Quản lý dự án đầu tư xây dựng các công trình nông nghiệp và phát triển nông thôn tỉnh Gia Lai,09:32 26/03/2026,08:00 08/04/2026,https://dauthau.asia/thongbao/moithau/thi-cong-xay-dung-toan-bo-khoi-luong-cong-trinh-1732125.html
IB2600104652-00,Gói thầu số 04: Thi công xây dựng,vn0700914785,Ban Quản lý dự án đầu tư xây dựng phường Phù Vân,09:32 26/03/2026,09:45 04/04/2026,https://dauthau.asia/thongbao/moithau/goi-thau-so-04-thi-cong-xay-dung-1732126.html
IB2600115553-00,Gói số 1: Gói thầu thuốc generic,vn0500588816,Bệnh viện đa khoa Mỹ Đức,09:29 26/03/2026,08:30 06/04/2026,https://dauthau.asia/thongbao/moithau/goi-so-1-goi-thau-thuoc-generic-1732123.html
